                     NAME                 LANGUAGE                  VARIANT
           Amharic+shelby                       am                   shelby
           Amharic+travis                       am                   travis
           Amharic+victor                       am                   victor
          Amharic+whisper                       am                  whisper
            Amharic+male8                       am                    male8
          Amharic+female1                       am                  female1
            Amharic+croak                       am                    croak
            Amharic+male1                       am                    male1
          Amharic+grandma                       am                  grandma
                Aragonese                       an                     none
         Aragonese+Andrea                       an                   Andrea
          Aragonese+Annie                       an                    Annie
        Aragonese+Antonio                       an                  Antonio
         Aragonese+Auntie                       an                   Auntie
        Aragonese+Belinda                       an                  Belinda
          Aragonese+Boris                       an                    Boris
          Aragonese+Denis                       an                    Denis
          Aragonese+Diogo                       an                    Diogo
             Aragonese+Ed                       an                       Ed
           Aragonese+Gene                       an                     Gene
          Aragonese+Gene2                       an                    Gene2
       Aragonese+Henrique                       an                 Henrique
           Aragonese+Hugo                       an                     Hugo
           Aragonese+Iven                       an                     Iven
          Aragonese+Iven2                       an                    Iven2
          Aragonese+Iven3                       an                    Iven3
          Aragonese+Jacky                       an                    Jacky
           Aragonese+John                       an                     John
     Aragonese+Kaukovalta                       an               Kaukovalta
          Aragonese+Mario                       an                    Mario
            Aragonese+Max                       an                      Max
        Aragonese+Michael                       an                  Michael
         Aragonese+Michel                       an                   Michel
         Aragonese+Miguel                       an                   Miguel
     Aragonese+Mr_Serious                       an               Mr_Serious
         Aragonese+Nguyen                       an                   Nguyen
          Aragonese+Pablo                       an                    Pablo
         Aragonese+Pablo2                       an                   Pablo2
           Aragonese+Paul                       an                     Paul
          Aragonese+Pedro                       an                    Pedro
         Aragonese+Quincy                       an                   Quincy
    Aragonese+RicishayMax                       an              RicishayMax
   Aragonese+RicishayMax2                       an             RicishayMax2
   Aragonese+RicishayMax3                       an             RicishayMax3
            Aragonese+Rob                       an                      Rob
         Aragonese+Robert                       an                   Robert
      Aragonese+Robosoft3                       an                Robosoft3
      Aragonese+Robosoft4                       an                Robosoft4
      Aragonese+Robosoft5                       an                Robosoft5
      Aragonese+Robosoft6                       an                Robosoft6
      Aragonese+Robosoft7                       an                Robosoft7
      Aragonese+Robosoft8                       an                Robosoft8
          Aragonese+Steph                       an                    Steph
         Aragonese+Steph2                       an                   Steph2
         Aragonese+Steph3                       an                   Steph3
          Aragonese+Storm                       an                    Storm
         Aragonese+Tweaky                       an                   Tweaky
            Aragonese+Zac                       an                      Zac
          Aragonese+anika                       an                    anika
     Aragonese+anikaRobot                       an               anikaRobot
      Aragonese+fast_test                       an                fast_test
        Aragonese+female2                       an                  female2
        Aragonese+female3                       an                  female3
        Aragonese+female4                       an                  female4
        Aragonese+female5                       an                  female5
 Aragonese+female_whisper                       an           female_whisper
        Aragonese+grandpa                       an                  grandpa
          Aragonese+klatt                       an                    klatt
         Aragonese+klatt2                       an                   klatt2
         Aragonese+klatt3                       an                   klatt3
         Aragonese+klatt4                       an                   klatt4
          Aragonese+male2                       an                    male2
          Aragonese+male3                       an                    male3
          Aragonese+male4                       an                    male4
          Aragonese+male5                       an                    male5
          Aragonese+male6                       an                    male6
          Aragonese+male7                       an                    male7
        Aragonese+norbert                       an                  norbert
         Aragonese+sandro                       an                   sandro
         Aragonese+shelby                       an                   shelby
         Aragonese+travis                       an                   travis
         Aragonese+victor                       an                   victor
        Aragonese+whisper                       an                  whisper
          Aragonese+male8                       an                    male8
        Aragonese+female1                       an                  female1
          Aragonese+croak                       an                    croak
          Aragonese+male1                       an                    male1
        Aragonese+grandma                       an                  grandma
                   Arabic                       ar                     none
            Arabic+Andrea                       ar                   Andrea
             Arabic+Annie                       ar                    Annie
           Arabic+Antonio                       ar                  Antonio
            Arabic+Auntie                       ar                   Auntie
           Arabic+Belinda                       ar                  Belinda
             Arabic+Boris                       ar                    Boris
             Arabic+Denis                       ar                    Denis
             Arabic+Diogo                       ar                    Diogo
                Arabic+Ed                       ar                       Ed
              Arabic+Gene                       ar                     Gene
             Arabic+Gene2                       ar                    Gene2
          Arabic+Henrique                       ar                 Henrique
              Arabic+Hugo                       ar                     Hugo
              Arabic+Iven                       ar                     Iven
             Arabic+Iven2                       ar                    Iven2
             Arabic+Iven3                       ar                    Iven3
             Arabic+Jacky                       ar                    Jacky
              Arabic+John                       ar                     John
        Arabic+Kaukovalta                       ar               Kaukovalta
             Arabic+Mario                       ar                    Mario
               Arabic+Max                       ar                      Max
           Arabic+Michael                       ar                  Michael
            Arabic+Michel                       ar                   Michel
            Arabic+Miguel                       ar                   Miguel
        Arabic+Mr_Serious                       ar               Mr_Serious
            Arabic+Nguyen                       ar                   Nguyen
             Arabic+Pablo                       ar                    Pablo
            Arabic+Pablo2                       ar                   Pablo2
              Arabic+Paul                       ar                     Paul
             Arabic+Pedro                       ar                    Pedro
            Arabic+Quincy                       ar                   Quincy
       Arabic+RicishayMax                       ar              RicishayMax
      Arabic+RicishayMax2                       ar             RicishayMax2
      Arabic+RicishayMax3                       ar             RicishayMax3
               Arabic+Rob                       ar                      Rob
            Arabic+Robert                       ar                   Robert
         Arabic+Robosoft3                       ar                Robosoft3
         Arabic+Robosoft4                       ar                Robosoft4
         Arabic+Robosoft5                       ar                Robosoft5
         Arabic+Robosoft6                       ar                Robosoft6
         Arabic+Robosoft7                       ar                Robosoft7
         Arabic+Robosoft8                       ar                Robosoft8
             Arabic+Steph                       ar                    Steph
            Arabic+Steph2                       ar                   Steph2
            Arabic+Steph3                       ar                   Steph3
             Arabic+Storm                       ar                    Storm
            Arabic+Tweaky                       ar                   Tweaky
               Arabic+Zac                       ar                      Zac
             Arabic+anika                       ar                    anika
        Arabic+anikaRobot                       ar               anikaRobot
         Arabic+fast_test                       ar                fast_test
           Arabic+female2                       ar                  female2
           Arabic+female3                       ar                  female3
           Arabic+female4                       ar                  female4
           Arabic+female5                       ar                  female5
    Arabic+female_whisper                       ar           female_whisper
           Arabic+grandpa                       ar                  grandpa
             Arabic+klatt                       ar                    klatt
            Arabic+klatt2                       ar                   klatt2
            Arabic+klatt3                       ar                   klatt3
            Arabic+klatt4                       ar                   klatt4
             Arabic+male2                       ar                    male2
             Arabic+male3                       ar                    male3
             Arabic+male4                       ar                    male4
             Arabic+male5                       ar                    male5
             Arabic+male6                       ar                    male6
             Arabic+male7                       ar                    male7
           Arabic+norbert                       ar                  norbert
            Arabic+sandro                       ar                   sandro
            Arabic+shelby                       ar                   shelby
            Arabic+travis                       ar                   travis
            Arabic+victor                       ar                   victor
           Arabic+whisper                       ar                  whisper
             Arabic+male8                       ar                    male8
           Arabic+female1                       ar                  female1
             Arabic+croak                       ar                    croak
             Arabic+male1                       ar                    male1
           Arabic+grandma                       ar                  grandma
                 Assamese                       as                     none
          Assamese+Andrea                       as                   Andrea
           Assamese+Annie                       as                    Annie
         Assamese+Antonio                       as                  Antonio
          Assamese+Auntie                       as                   Auntie
         Assamese+Belinda                       as                  Belinda
           Assamese+Boris                       as                    Boris
           Assamese+Denis                       as                    Denis
           Assamese+Diogo                       as                    Diogo
              Assamese+Ed                       as                       Ed
            Assamese+Gene                       as                     Gene
           Assamese+Gene2                       as                    Gene2
        Assamese+Henrique                       as                 Henrique
            Assamese+Hugo                       as                     Hugo
            Assamese+Iven                       as                     Iven
           Assamese+Iven2                       as                    Iven2
           Assamese+Iven3                       as                    Iven3
           Assamese+Jacky                       as                    Jacky
            Assamese+John                       as                     John
      Assamese+Kaukovalta                       as               Kaukovalta
           Assamese+Mario                       as                    Mario
             Assamese+Max                       as                      Max
         Assamese+Michael                       as                  Michael
          Assamese+Michel                       as                   Michel
          Assamese+Miguel                       as                   Miguel
      Assamese+Mr_Serious                       as               Mr_Serious
          Assamese+Nguyen                       as                   Nguyen
           Assamese+Pablo                       as                    Pablo
          Assamese+Pablo2                       as                   Pablo2
            Assamese+Paul                       as                     Paul
           Assamese+Pedro                       as                    Pedro
          Assamese+Quincy                       as                   Quincy
     Assamese+RicishayMax                       as              RicishayMax
    Assamese+RicishayMax2                       as             RicishayMax2
    Assamese+RicishayMax3                       as             RicishayMax3
             Assamese+Rob                       as                      Rob
          Assamese+Robert                       as                   Robert
       Assamese+Robosoft3                       as                Robosoft3
       Assamese+Robosoft4                       as                Robosoft4
       Assamese+Robosoft5                       as                Robosoft5
       Assamese+Robosoft6                       as                Robosoft6
       Assamese+Robosoft7                       as                Robosoft7
       Assamese+Robosoft8                       as                Robosoft8
           Assamese+Steph                       as                    Steph
          Assamese+Steph2                       as                   Steph2
          Assamese+Steph3                       as                   Steph3
           Assamese+Storm                       as                    Storm
          Assamese+Tweaky                       as                   Tweaky
             Assamese+Zac                       as                      Zac
           Assamese+anika                       as                    anika
      Assamese+anikaRobot                       as               anikaRobot
       Assamese+fast_test                       as                fast_test
         Assamese+female2                       as                  female2
         Assamese+female3                       as                  female3
         Assamese+female4                       as                  female4
         Assamese+female5                       as                  female5
  Assamese+female_whisper                       as           female_whisper
         Assamese+grandpa                       as                  grandpa
           Assamese+klatt                       as                    klatt
          Assamese+klatt2                       as                   klatt2
          Assamese+klatt3                       as                   klatt3
          Assamese+klatt4                       as                   klatt4
           Assamese+male2                       as                    male2
           Assamese+male3                       as                    male3
           Assamese+male4                       as                    male4
           Assamese+male5                       as                    male5
           Assamese+male6                       as                    male6
           Assamese+male7                       as                    male7
         Assamese+norbert                       as                  norbert
          Assamese+sandro                       as                   sandro
          Assamese+shelby                       as                   shelby
          Assamese+travis                       as                   travis
          Assamese+victor                       as                   victor
         Assamese+whisper                       as                  whisper
           Assamese+male8                       as                    male8
         Assamese+female1                       as                  female1
           Assamese+croak                       as                    croak
           Assamese+male1                       as                    male1
         Assamese+grandma                       as                  grandma
              Azerbaijani                       az                     none
       Azerbaijani+Andrea                       az                   Andrea
        Azerbaijani+Annie                       az                    Annie
      Azerbaijani+Antonio                       az                  Antonio
       Azerbaijani+Auntie                       az                   Auntie
      Azerbaijani+Belinda                       az                  Belinda
        Azerbaijani+Boris                       az                    Boris
        Azerbaijani+Denis                       az                    Denis
        Azerbaijani+Diogo                       az                    Diogo
           Azerbaijani+Ed                       az                       Ed
         Azerbaijani+Gene                       az                     Gene
        Azerbaijani+Gene2                       az                    Gene2
     Azerbaijani+Henrique                       az                 Henrique
         Azerbaijani+Hugo                       az                     Hugo
         Azerbaijani+Iven                       az                     Iven
        Azerbaijani+Iven2                       az                    Iven2
        Azerbaijani+Iven3                       az                    Iven3
        Azerbaijani+Jacky                       az                    Jacky
         Azerbaijani+John                       az                     John
   Azerbaijani+Kaukovalta                       az               Kaukovalta
        Azerbaijani+Mario                       az                    Mario
          Azerbaijani+Max                       az                      Max
      Azerbaijani+Michael                       az                  Michael
       Azerbaijani+Michel                       az                   Michel
       Azerbaijani+Miguel                       az                   Miguel
   Azerbaijani+Mr_Serious                       az               Mr_Serious
       Azerbaijani+Nguyen                       az                   Nguyen
        Azerbaijani+Pablo                       az                    Pablo
       Azerbaijani+Pablo2                       az                   Pablo2
         Azerbaijani+Paul                       az                     Paul
        Azerbaijani+Pedro                       az                    Pedro
       Azerbaijani+Quincy                       az                   Quincy
  Azerbaijani+RicishayMax                       az              RicishayMax
 Azerbaijani+RicishayMax2                       az             RicishayMax2
 Azerbaijani+RicishayMax3                       az             RicishayMax3
          Azerbaijani+Rob                       az                      Rob
       Azerbaijani+Robert                       az                   Robert
    Azerbaijani+Robosoft3                       az                Robosoft3
    Azerbaijani+Robosoft4                       az                Robosoft4
    Azerbaijani+Robosoft5                       az                Robosoft5
    Azerbaijani+Robosoft6                       az                Robosoft6
    Azerbaijani+Robosoft7                       az                Robosoft7
    Azerbaijani+Robosoft8                       az                Robosoft8
        Azerbaijani+Steph                       az                    Steph
       Azerbaijani+Steph2                       az                   Steph2
       Azerbaijani+Steph3                       az                   Steph3
        Azerbaijani+Storm                       az                    Storm
       Azerbaijani+Tweaky                       az                   Tweaky
          Azerbaijani+Zac                       az                      Zac
        Azerbaijani+anika                       az                    anika
   Azerbaijani+anikaRobot                       az               anikaRobot
    Azerbaijani+fast_test                       az                fast_test
      Azerbaijani+female2                       az                  female2
      Azerbaijani+female3                       az                  female3
      Azerbaijani+female4                       az                  female4
      Azerbaijani+female5                       az                  female5
Azerbaijani+female_whisper                       az           female_whisper
      Azerbaijani+grandpa                       az                  grandpa
        Azerbaijani+klatt                       az                    klatt
       Azerbaijani+klatt2                       az                   klatt2
       Azerbaijani+klatt3                       az                   klatt3
       Azerbaijani+klatt4                       az                   klatt4
        Azerbaijani+male2                       az                    male2
        Azerbaijani+male3                       az                    male3
        Azerbaijani+male4                       az                    male4
        Azerbaijani+male5                       az                    male5
        Azerbaijani+male6                       az                    male6
        Azerbaijani+male7                       az                    male7
      Azerbaijani+norbert                       az                  norbert
       Azerbaijani+sandro                       az                   sandro
       Azerbaijani+shelby                       az                   shelby
       Azerbaijani+travis                       az                   travis
       Azerbaijani+victor                       az                   victor
      Azerbaijani+whisper                       az                  whisper
        Azerbaijani+male8                       az                    male8
      Azerbaijani+female1                       az                  female1
        Azerbaijani+croak                       az                    croak
        Azerbaijani+male1                       az                    male1
      Azerbaijani+grandma                       az                  grandma
                  Bashkir                       ba                     none
           Bashkir+Andrea                       ba                   Andrea
            Bashkir+Annie                       ba                    Annie
          Bashkir+Antonio                       ba                  Antonio
           Bashkir+Auntie                       ba                   Auntie
          Bashkir+Belinda                       ba                  Belinda
            Bashkir+Boris                       ba                    Boris
            Bashkir+Denis                       ba                    Denis
            Bashkir+Diogo                       ba                    Diogo
               Bashkir+Ed                       ba                       Ed
             Bashkir+Gene                       ba                     Gene
            Bashkir+Gene2                       ba                    Gene2
         Bashkir+Henrique                       ba                 Henrique
             Bashkir+Hugo                       ba                     Hugo
             Bashkir+Iven                       ba                     Iven
            Bashkir+Iven2                       ba                    Iven2
            Bashkir+Iven3                       ba                    Iven3
            Bashkir+Jacky                       ba                    Jacky
             Bashkir+John                       ba                     John
       Bashkir+Kaukovalta                       ba               Kaukovalta
            Bashkir+Mario                       ba                    Mario
              Bashkir+Max                       ba                      Max
          Bashkir+Michael                       ba                  Michael
           Bashkir+Michel                       ba                   Michel
           Bashkir+Miguel                       ba                   Miguel
       Bashkir+Mr_Serious                       ba               Mr_Serious
           Bashkir+Nguyen                       ba                   Nguyen
            Bashkir+Pablo                       ba                    Pablo
           Bashkir+Pablo2                       ba                   Pablo2
             Bashkir+Paul                       ba                     Paul
            Bashkir+Pedro                       ba                    Pedro
           Bashkir+Quincy                       ba                   Quincy
      Bashkir+RicishayMax                       ba              RicishayMax
     Bashkir+RicishayMax2                       ba             RicishayMax2
     Bashkir+RicishayMax3                       ba             RicishayMax3
              Bashkir+Rob                       ba                      Rob
           Bashkir+Robert                       ba                   Robert
        Bashkir+Robosoft3                       ba                Robosoft3
        Bashkir+Robosoft4                       ba                Robosoft4
        Bashkir+Robosoft5                       ba                Robosoft5
        Bashkir+Robosoft6                       ba                Robosoft6
        Bashkir+Robosoft7                       ba                Robosoft7
        Bashkir+Robosoft8                       ba                Robosoft8
            Bashkir+Steph                       ba                    Steph
           Bashkir+Steph2                       ba                   Steph2
           Bashkir+Steph3                       ba                   Steph3
            Bashkir+Storm                       ba                    Storm
           Bashkir+Tweaky                       ba                   Tweaky
              Bashkir+Zac                       ba                      Zac
            Bashkir+anika                       ba                    anika
       Bashkir+anikaRobot                       ba               anikaRobot
        Bashkir+fast_test                       ba                fast_test
          Bashkir+female2                       ba                  female2
          Bashkir+female3                       ba                  female3
          Bashkir+female4                       ba                  female4
          Bashkir+female5                       ba                  female5
   Bashkir+female_whisper                       ba           female_whisper
          Bashkir+grandpa                       ba                  grandpa
            Bashkir+klatt                       ba                    klatt
           Bashkir+klatt2                       ba                   klatt2
           Bashkir+klatt3                       ba                   klatt3
           Bashkir+klatt4                       ba                   klatt4
            Bashkir+male2                       ba                    male2
            Bashkir+male3                       ba                    male3
            Bashkir+male4                       ba                    male4
            Bashkir+male5                       ba                    male5
            Bashkir+male6                       ba                    male6
            Bashkir+male7                       ba                    male7
          Bashkir+norbert                       ba                  norbert
           Bashkir+sandro                       ba                   sandro
           Bashkir+shelby                       ba                   shelby
           Bashkir+travis                       ba                   travis
           Bashkir+victor                       ba                   victor
          Bashkir+whisper                       ba                  whisper
            Bashkir+male8                       ba                    male8
          Bashkir+female1                       ba                  female1
            Bashkir+croak                       ba                    croak
            Bashkir+male1                       ba                    male1
          Bashkir+grandma                       ba                  grandma
                Bulgarian                       bg                     none
         Bulgarian+Andrea                       bg                   Andrea
          Bulgarian+Annie                       bg                    Annie
        Bulgarian+Antonio                       bg                  Antonio
         Bulgarian+Auntie                       bg                   Auntie
        Bulgarian+Belinda                       bg                  Belinda
          Bulgarian+Boris                       bg                    Boris
          Bulgarian+Denis                       bg                    Denis
          Bulgarian+Diogo                       bg                    Diogo
             Bulgarian+Ed                       bg                       Ed
           Bulgarian+Gene                       bg                     Gene
          Bulgarian+Gene2                       bg                    Gene2
       Bulgarian+Henrique                       bg                 Henrique
           Bulgarian+Hugo                       bg                     Hugo
           Bulgarian+Iven                       bg                     Iven
          Bulgarian+Iven2                       bg                    Iven2
          Bulgarian+Iven3                       bg                    Iven3
          Bulgarian+Jacky                       bg                    Jacky
           Bulgarian+John                       bg                     John
     Bulgarian+Kaukovalta                       bg               Kaukovalta
          Bulgarian+Mario                       bg                    Mario
            Bulgarian+Max                       bg                      Max
        Bulgarian+Michael                       bg                  Michael
         Bulgarian+Michel                       bg                   Michel
         Bulgarian+Miguel                       bg                   Miguel
     Bulgarian+Mr_Serious                       bg               Mr_Serious
         Bulgarian+Nguyen                       bg                   Nguyen
          Bulgarian+Pablo                       bg                    Pablo
         Bulgarian+Pablo2                       bg                   Pablo2
           Bulgarian+Paul                       bg                     Paul
          Bulgarian+Pedro                       bg                    Pedro
         Bulgarian+Quincy                       bg                   Quincy
    Bulgarian+RicishayMax                       bg              RicishayMax
   Bulgarian+RicishayMax2                       bg             RicishayMax2
   Bulgarian+RicishayMax3                       bg             RicishayMax3
            Bulgarian+Rob                       bg                      Rob
         Bulgarian+Robert                       bg                   Robert
      Bulgarian+Robosoft3                       bg                Robosoft3
      Bulgarian+Robosoft4                       bg                Robosoft4
